Altium Designer Pick and Place Locations
C:\Documentos\Documentos de GitHub\LevitadorGMI\Altium\Modelo levitador magnético V 2.0\Project Outputs for Modelo levitador magnético\Pick Place\Pick Place for Levitador Magnetico.txt

========================================================================================================================
File Design Information:

Date:       02/04/22
Time:       12:55
Revision:   2eb1851b6c2737da08c1c26c28c75a134194efda
Variant:    No variations
Units used: mm

Designator Comment               Layer    Footprint                          Center-X(mm) Center-Y(mm) Rotation Description                        
TP110      BLI/AHI               TopLayer TestPoint_Keystone_5000_Silver-Red 115.8055     130.4647     0        "PC TEST POINT MINIATURE RED"      
P300       "Header 3"            TopLayer HDR1X3                             102.1080     48.7680      270      "TERM BLK 3P SIDE ENT 2.54MM PCB"  
TP505      V_I*R                 TopLayer TestPoint_Keystone_5000_Silver-Red 144.7800     21.3360      0        "PC TEST POINT MINIATURE RED"      
TP504      Vi_Feed_LPF           TopLayer TestPoint_Keystone_5000_Silver-Red 144.7800     33.0200      0        "PC TEST POINT MINIATURE RED"      
TP503      Vpst                  TopLayer TestPoint_Keystone_5000_Silver-Red 106.6646     4.4072       0        "PC TEST POINT MINIATURE RED"      
TP502      Vtst                  TopLayer TestPoint_Keystone_5000_Silver-Red 106.6800     9.6520       0        "PC TEST POINT MINIATURE RED"      
TP404      Vpos_Ref_ADC          TopLayer TestPoint_Keystone_5000_Silver-Red 134.1513     130.3699     0        "PC TEST POINT MINIATURE RED"      
TP403      Vi_Feed_ADC           TopLayer TestPoint_Keystone_5000_Silver-Red 115.8240     95.5040      0        "PC TEST POINT MINIATURE RED"      
TP402      Vi_Feed_mean_ADC      TopLayer TestPoint_Keystone_5000_Silver-Red 143.7571     130.4084     0        "PC TEST POINT MINIATURE RED"      
TP303      Vpos_Ref              TopLayer TestPoint_Keystone_5000_Silver-Red 106.6849     31.3436      0        "PC TEST POINT MINIATURE RED"      
TP200      +2.5V                 TopLayer TestPoint_Keystone_5000_Silver-Red 108.7120     64.0080      0        "PC TEST POINT MINIATURE RED"      
