muestras,derivadas,estimacion
758,-7,12040
754,-4,4929
751,-3,2559
747,-4,4929
743,-4,4929
740,-3,2559
736,-4,4929
732,-4,4929
729,-3,2559
725,-4,4929
721,-4,4929
718,-3,2559
714,-4,4929
710,-4,4929
714,4,4929
717,3,2559
720,3,2559
724,4,4929
727,3,2559
730,3,2559
734,4,4929
737,3,2559
740,3,2559
744,4,4929
747,3,2559
750,3,2559
753,3,2559
757,4,4929
760,3,2559
763,3,2559
767,4,4929
770,3,2559
773,3,2559
777,4,4929
773,-4,4929
769,-4,4929
766,-3,2559
762,-4,4929
758,-4,4929
755,-3,2559
751,-4,4929
747,-4,4929
744,-3,2559
740,-4,4929
736,-4,4929
733,-3,2559
729,-4,4929
725,-4,4929
722,-3,2559
718,-4,4929
714,-4,4929
711,-3,2559
714,3,2559
717,3,2559
721,4,4929
724,3,2559
727,3,2559
731,4,4929
734,3,2559
737,3,2559
741,4,4929
744,3,2559
747,3,2559
751,4,4929
754,3,2559
757,3,2559
760,3,2559
764,4,4929
767,3,2559
770,3,2559
774,4,4929
777,3,2559
773,-4,4929
770,-3,2559
766,-4,4929
762,-4,4929
759,-3,2559
755,-4,4929
751,-4,4929
748,-3,2559
744,-4,4929
740,-4,4929
737,-3,2559
733,-4,4929
729,-4,4929
726,-3,2559
722,-4,4929
718,-4,4929
715,-3,2559
711,-4,4929
714,3,2559
718,4,4929
721,3,2559
724,3,2559
728,4,4929
731,3,2559
734,3,2559
738,4,4929
741,3,2559
744,3,2559
748,4,4929
751,3,2559
754,3,2559
757,3,2559
761,4,4929
764,3,2559
767,3,2559
771,4,4929
774,3,2559
777,3,2559
774,-3,2559
770,-4,4929
766,-4,4929
763,-3,2559
759,-4,4929
755,-4,4929
752,-3,2559
748,-4,4929
744,-4,4929
741,-3,2559
737,-4,4929
733,-4,4929
730,-3,2559
726,-4,4929
722,-4,4929
719,-3,2559
715,-4,4929
711,-4,4929
715,4,4929
718,3,2559
721,3,2559
725,4,4929
728,3,2559
731,3,2559
735,4,4929
738,3,2559
741,3,2559
745,4,4929
748,3,2559
751,3,2559
755,4,4929
758,3,2559
761,3,2559
764,3,2559
768,4,4929
771,3,2559
774,3,2559
778,4,4929
774,-4,4929
770,-4,4929
767,-3,2559
763,-4,4929
759,-4,4929
756,-3,2559
752,-4,4929
748,-4,4929
745,-3,2559
741,-4,4929
737,-4,4929
734,-3,2559
730,-4,4929
726,-4,4929
723,-3,2559
719,-4,4929
715,-4,4929
712,-3,2559
715,3,2559
718,3,2559
722,4,4929
725,3,2559
728,3,2559
732,4,4929
735,3,2559
738,3,2559
742,4,4929
745,3,2559
748,3,2559
752,4,4929
755,3,2559
758,3,2559
761,3,2559
765,4,4929
768,3,2559
771,3,2559
775,4,4929
778,3,2559
774,-4,4929
771,-3,2559
767,-4,4929
763,-4,4929
760,-3,2559
756,-4,4929
752,-4,4929
749,-3,2559
745,-4,4929
741,-4,4929
738,-3,2559
734,-4,4929
730,-4,4929
727,-3,2559
723,-4,4929
719,-4,4929
716,-3,2559
712,-4,4929
715,3,2559
719,4,4929
722,3,2559
725,3,2559
729,4,4929
732,3,2559
735,3,2559
739,4,4929
742,3,2559
745,3,2559
749,4,4929
752,3,2559
755,3,2559
759,4,4929
762,3,2559
765,3,2559
768,3,2559
772,4,4929
775,3,2559
778,3,2559
775,-3,2559
771,-4,4929
767,-4,4929
764,-3,2559
760,-4,4929
756,-4,4929
753,-3,2559
749,-4,4929
745,-4,4929
742,-3,2559
738,-4,4929
734,-4,4929
731,-3,2559
727,-4,4929
723,-4,4929
720,-3,2559
716,-4,4929
712,-4,4929
716,4,4929
719,3,2559
722,3,2559
726,4,4929
729,3,2559
732,3,2559
736,4,4929
739,3,2559
742,3,2559
746,4,4929
749,3,2559
752,3,2559
756,4,4929
759,3,2559
762,3,2559
765,3,2559
769,4,4929
772,3,2559
775,3,2559
772,-3,2559
768,-4,4929
764,-4,4929
761,-3,2559
757,-4,4929
753,-4,4929
750,-3,2559
746,-4,4929
742,-4,4929
739,-3,2559
735,-4,4929
731,-4,4929
728,-3,2559
724,-4,4929
720,-4,4929
717,-3,2559
713,-4,4929
709,-4,4929
713,4,4929
716,3,2559
719,3,2559
723,4,4929
726,3,2559
729,3,2559
733,4,4929
736,3,2559
739,3,2559
743,4,4929
746,3,2559
749,3,2559
753,4,4929
756,3,2559
759,3,2559
763,4,4929
766,3,2559
769,3,2559
772,3,2559
776,4,4929
772,-4,4929
768,-4,4929
765,-3,2559
